"House Committee on Appropriations/Subcommittee on Interior, Environment and Related Agencies",HSAP_doi,Norm Dicks,Jim Moran,Alan Mollohan,Ben Chandler,Maurice Hinchey,John Olver,Ed Pastor,David Price,Dave Obey,Michael Simpson,Ken Calvert,Steven LaTourette,Tom Cole,Jerry Lewis
"House Committee on Appropriations/Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",HSAP_hhs,David Obey,Nita Lowey,Rosa DeLauro,Jesse Jackson Jr.,Patrick Kennedy,Lucille Roybal-Allard,Barbara Lee,Mike Honda,Betty McCollum,Tim Ryan,James Moran,Todd Tiahrt,Dennis Rehberg,Rodney Alexander,Jo Bonner,Tom Cole,Jerry Lewis
House Committee on Appropriations/Subcommittee on Legislative Branch,HSAP_leg,Debbie Wasserman_Schultz,Mike Honda,Betty McCollum,Tim Ryan,Dutch Ruppersberger,Ciro Rodriguez,Dave Obey,Robert Aderholt,Steven LaTourette,Tom Cole,Jerry Lewis
"House Committee on Appropriations/Subcommittee on Military Construction, Veterans' Affairs and Related Agencies",HSAP_dva,Chet Edwards,Sam Farr,John Salazar,Norm Dicks,Patrick Kennedy,Sanford Bishop,Marion Berry,Steve Israel,Dave Obey,Zach Wamp,Ander Crenshaw,Bill Young,John Carter,Jerry Lewis
"House Committee on Appropriations/Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",HSAP_hud,John Olver,Ed Pastor,Ciro D. Rodriguez,Marcy Kaptur,David Price,Lucille Roybal-Allard,Marion Berry,Carolyn Kilpatrick,Dave Obey,Tom Latham,Frank Wolf,John Carter,Steven LaTourette,Jerry Lewis
"House Committee on Appropriations/Subcommittee on State, Foreign Operations, and Related Programs",HSAP_sta,Nita Lowey,Jesse Jackson Jr.,Adam Schiff,Steve Israel,Ben Chandler,Steven Rothman,Barbara Lee,Betty McCollum,Dave Obey,Kay Granger,Mark Kirk,Ander Crenshaw,Dennis Rehberg,Jerry Lewis
House Committee on Armed Services,HSAS,Ike Skelton,John Spratt,Solomon Ortiz,Gene Taylor,Neil Abercrombie,Silvestre Reyes,Vic Snyder,Adam Smith,Loretta Sanchez,Mike McIntyre,Ellen Tauscher,Robert Brady,Rob Andrews,Susan Davis,Jim Langevin,Rick Larsen,Jim Cooper,Jim Marshall,Madeleine Bordallo,Brad Ellsworth,Patrick Murphy,Hank Johnson,Carol Shea-Porter,Joe Courtney,David Loebsack,Joe Sestak,Gabrielle Giffords,Niki Tsongas,Glenn Nye,Chellie Pingree,Larry Kissell,Martin Heinrich,Frank Kratovil,Eric Massa,Bobby Bright,John McHugh,Roscoe Bartlett,Buck McKeon,Mac Thornberry,Walter Jones,Todd Akin,Randy Forbes,Jeff Miller,Joe Wilson,Frank LoBiondo,Rob Bishop,Michael R. Turner,John Kline,Mike Rogers,Trent Franks,Bill Shuster,Cathy McMorris-Rodgers,Michael Conaway,Doug Lamborn,Rob Wittman,Mary Fallin,Duncan D. Hunter,John Fleming,Mike Coffman,Tom Rooney
House Committee on Armed Services/Subcommittee on Air and Land Forces,HSAS_alf,Neil Abercrombie,John Spratt,Silvestre Reyes,Adam Smith,Mike McIntyre,Ellen Tauscher,Robert Brady,Jim Cooper,Jim Marshall,Joe Sestak,Gabrielle Giffords,Niki Tsongas,Larry Kissell,Frank Kratovil,Eric Massa,Bobby Bright,Roscoe Bartlett,Cathy McMorris-Rodgers,Mary Fallin,Duncan D. Hunter,John Fleming,Mike Coffman,Buck McKeon,Todd Akin,Jeff Miller,Joe Wilson,Frank LoBiondo,Rob Bishop,Michael Turner
House Committee on Armed Services/Subcommittee on Readiness,HSAS_rdi,Solomon Ortiz,Gene Taylor,Neil Abercrombie,Silvestre Reyes,Jim Marshall,Madeleine Bordallo,Hank Johnson,Carol Shea-Porter,Joe Courtney,David Loebsack,Gabrielle Giffords,Glenn Nye,Larry Kissell,Martin Heinrich,Frank Kratovil,Bobby Bright,Randy Forbes,Rob Bishop,Mike Rogers,Trent Franks,Bill Shuster,Cathy McMorris-Rodgers,Michael Conaway,Doug Lamborn,Robert Wittman,Mary Fallin,John Fleming,Frank LoBiondo
House Committee on Armed Services/Subcommittee on Seapower and Expeditionary Forces,HSAS_sea,Gene Taylor,Solomon Ortiz,James R. Langevin,Rick Larsen,Brad Ellsworth,Joe Courtney,Joe Sestak,Glenn Nye,Chellie Pingree,Eric Massa,Todd Akin,Robert Wittman,Roscoe Bartlett,Randy Forbes,Duncan Hunter,Mike Coffman,Tom Rooney
House Committee on Armed Services/Oversight and Investigations Subcommittee,HSAS_osi,Vic Snyder,John Spratt,Loretta Sanchez,Ellen Tauscher,Susan Davis,Jim Cooper,Joe Sestak,Glenn Nye,Chellie Pingree,Rob Wittman,Walter Jones,Mike Rogers,Trent Franks,Cathy McMorris-Rodgers,Doug Lamborn,Duncan D. Hunter
"House Committee on Armed Services/Subcommittee on Terrorism, Unconventional Threats and Capabilities",HSAS_ter,Adam Smith,Mike McIntyre,Rob Andrews,James R. Langevin,Jim Cooper,Jim Marshall,Brad Ellsworth,Patrick Murphy,Bobby Bright,Jeff Miller,Frank LoBiondo,John Kline,Bill Shuster,Michael Conaway,Tom Rooney,Mac Thornberry
House Committee on Armed Services/Strategic Forces Subcommittee ,HSAS_stf,Ellen Tauscher,John Spratt,Loretta Sanchez,Rob Andrews,James Langevin,Rick Larsen,Martin Heinrich,Michael Turner,Howard P. McKeon,Mac Thornberry,Trent Franks,Doug Lamborn
House Committee on Armed Services/Military Personnel Subcommittee,HSAS_mip,Susan Davis,Vic Snyder,Loretta Sanchez,Madeleine Bordallo,Patrick Murphy,Hank Johnson,Carol Shea-Porter,David Loebsack,Niki Tsongas,Joe Wilson,Walter Jones,John Kline,Tom Rooney,Robert Wittman,Mary Fallin,John Fleming
House Committee on the Budget,HSBU,John Spratt,Allyson Schwartz,Marcy Kaptur,Xavier Becerra,Lloyd Doggett,Earl Blumenauer,Marion Berry,Allen Boyd,Jim McGovern,Niki Tsongas,Bob Etheridge,Betty McCollum,Charlie Melancon,John Yarmuth,Rob Andrews,Rosa DeLauro,Chet Edwards,Bobby Scott,Jim Langevin,Rick Larsen,Timothy Bishop,Gwen Moore,Gerry Connolly,Kurt Schrader,Paul Ryan,Scott Garrett,Mario Diaz-Balart,Jeb Hensarling,Mike Simpson,Patrick McHenry,Connie Mack,John Campbell,Jim Jordan,Devin Nunes,Robert Aderholt,Cynthia Lummis,Steve Austria,Gregg Harper
House Committee on Education and Labor,HSED,George Miller,Dale Kildee,Donald Payne,Rob Andrews,Robert Scott,Lynn Woolsey,Ruben Hinojosa,Carolyn McCarthy,John Tierney,Dennis Kucinich,David Wu,Rush Holt,Susan Davis,Raul Grijalva,Timothy Bishop,Joe Sestak,David Loebsack,Mazie Hirono,Jason Altmire,Phil Hare,Yvette Clarke,Joe Courtney,Carol Shea-Porter,Marcia Fudge,Jared Polis,Paul Tonko,Pedro Pierluisi,Dina Titus,Gregorio Sablan,Buck McKeon,Tom Petri,Pete Hoekstra,Mike Castle,Mark Souder,Vernon Ehlers,Judy Biggert,Todd Platts,Joe Wilson,John Kline,Cathy McMorris-Rodgers,Tom Price,Rob Bishop,Brett Guthrie,Bill Cassidy,Thomas McClintock,Duncan D. Hunter,Phil Roe,Glenn Thompson
"House Committee on Education and Labor/Subcommittee on Early Childhood, Elementary and Secondary Education",HSED_kid,Dale Kildee,Donald Payne,Bobby Scott,Rush Holt,Susan Davis,Raul Grijalva,Joe Sestak,David Loebsack,Mazie Hirono,Jared Polis,Pedro Pierluisi,Gregorio Sablan,Lynn Woolsey,Ruben Hinojosa,Dennis Kucinich,Jason Altmire,Dina Titus,Mike Castle,Tom Petri,Pete Hoekstra,Mark Souder,Vernon Ehlers,Judy Biggert,Todd Platts,Cathy McMorris-Rodgers,Rob Bishop,Bill Cassidy,Thomas McClintock,Duncan D. Hunter
House Committee on Education and Labor/Subcommittee on Healthy Families and Communities,HSED_hfc,Carolyn McCarthy,Yvette Clarke,Robert Scott,Carol Shea-Porter,Paul Tonko,Jared Polis,George Miller,Todd Platts,Buck McKeon,Brett Guthrie,Phil Roe,Glenn Thompson
"House Committee on Education and Labor/Subcommittee on Higher Education, Lifelong Learning and Competitiveness",HSED_hed,Ruben Hinojosa,Timothy Bishop,Jason Altmire,Joe Courtney,Paul Tonko,Dina Titus,Rob Andrews,John Tierney,David Wu,Susan Davis,Mazie Hirono,Marcia Fudge,Jared Polis,Pedro Pierluisi,Brett Guthrie,Buck McKeon,Mike Castle,Mark Souder,Vernon Ehlers,Judy Biggert,Bill Cassidy,Phil Roe,Glenn Thompson
"House Committee on Education and Labor/Subcommittee on Health, Employment, Labor, and Pensions",HSED_hel,Rob Andrews,David Wu,Phil Hare,John Tierney,Dennis Kucinich,Marcia Fudge,Dale Kildee,Carolyn McCarthy,Rush Holt,Joe Sestak,David Loebsack,Yvette Clarke,Joe Courtney,John Kline,Joe Wilson,Cathy McMorris-Rodgers,Tom Price,Brett Guthrie,Thomas McClintock,Duncan D. Hunter,Phil Roe
House Committee on Education and Labor/Subcommittee on Workforce Protections,HSED_wfp,Lynn Woolsey,Carol Shea-Porter,Donald Payne,Raul Grijalva,Timothy Bishop,Phil Hare,Gregorio Sablan,Tom Price,Pete Hoekstra,Joe Wilson,John Kline
House Committee on Energy and Commerce,HSIF,Henry Waxman,John Dingell,Edward Markey,Rick Boucher,Frank Pallone,Bart Gordon,Bobby Rush,Anna Eshoo,Bart Stupak,Eliot Engel,Gene Green,Diana DeGette,Lois Capps,Mike Doyle,Jane Harman,Jan Schakowsky,Charles Gonzalez,Jay Inslee,Tammy Baldwin,Mike Ross,Anthony Weiner,Jim Matheson,G.K. Butterfield,Charlie Melancon,John Barrow,Baron Hill,Doris Matsui,Donna Christensen,Kathy Castor,John Sarbanes,Christopher Murphy,Zack Space,Jerry McNerney,Betty Sutton,Bruce Braley,Peter Welch,Joe Barton,Ralph M. Hall,Fred Upton,Cliff Stearns,Nathan Deal,Ed Whitfield,John Shimkus,John B. Shadegg,Roy Blunt,Steve Buyer,George Radanovich,Joe Pitts,Mary Bono_Mack,Greg Walden,Lee Terry,Mike Rogers,Sue Myrick,John Sullivan,Tim Murphy,Michael Burgess,Marsha Blackburn,Phil Gingrey,Steve Scalise
House Committee on Energy and Commerce/Subcommittee on Energy and Environment,HSIF_env,Edward Markey,Mike Doyle,Jay Inslee,G.K. Butterfield,Charlie Melancon,Baron Hill,Doris Matsui,Jerry McNerney,Peter Welch,John Dingell,Rick Boucher,Frank Pallone,Eliot Engel,Gene Green,Lois Capps,Jane Harman,Charles Gonzalez,Tammy Baldwin,Mike Ross,Jim Matheson,John Barrow,Henry Waxman,Fred Upton,Ralph Hall,Cliff Stearns,Ed Whitfield,John Shimkus,John Shadegg,Roy Blunt,Joe Pitts,Mary Bono_Mack,Greg Walden,John Sullivan,Michael Burgess,Steve Scalise,Joe Barton
"House Committee on Energy and Commerce/Subcommittee on Communications, Technology, and the Internet",HSIF_cti,Rick Boucher,Ed Markey,Bart Gordon,Bobby Rush,Anna Eshoo,Bart Stupak,Diana DeGette,Mike Doyle,Jay Inslee,Anthony Weiner,G. K. Butterfield,Charlie Melancon,Baron Hill,Doris Matsui,Donna Christensen,Kathy Castor,Christopher S. Murphy,Zack Space,Jerry McNerney,Peter Welch,John Dingell,Henry Waxman,Cliff Stearns,Fred Upton,Nathan Deal,John Shimkus,John Shadegg,Roy Blunt,Steve Buyer,George Radanovich,Mary Bono_Mack,Greg Walden,Lee Terry,Mike Rogers,Marsha Blackburn,Joe Barton
House Committee on Energy and Commerce/Subcommittee on Health,HSIF_hth,Frank Pallone,John Dingell,Bart Gordon,Anna Eshoo,Eliot Engel,Gene Green,Diana DeGette,Lois Capps,Jan Schakowsky,Tammy Baldwin,Mike Ross,Anthony Weiner,Jim Matheson,Jane Harman,Charles A. Gonzalez,John Barrow,Donna M. Christensen,Kathy Castor,John P. Sarbanes,Christopher S. Murphy,Zack Space,Betty Sutton,Bruce L. Braley,Henry Waxman,Nathan Deal,Ralph Hall,Ed Whitfield,John Shimkus,John Shadegg,Roy Blunt,Steve Buyer,Joe Pitts,Mike Rogers,Sue Myrick,Tim Murphy,Michael Burgess,Marsha Blackburn,Phil Gingrey,Joe Barton
"House Committee on Energy and Commerce/Subcommittee on Commerce, Trade, and Consumer Protection",HSIF_ctc,Bobby Rush,Jan Schakowsky,John Sarbanes,Betty Sutton,Frank Pallone,Bart Gordon,Bart Stupak,Gene Green,Charles Gonzalez,Anthony Weiner,Jim Matheson,G.K. Butterfield,John Barrow,Doris Matsui,Kathy Castor,Zack Space,Bruce Braley,Diana DeGette,John Dingell,Henry Waxman,George Radanovich,Cliff Stearns,Ed Whitfield,Joe Pitts,Mary Bono_Mack,Lee Terry,Sue Myrick,John Sullivan,Tim Murphy,Phil Gingrey,Steve Scalise,Joe Barton,,,, ,, 
House Committee on Energy and Commerce/Subcommittee on Oversight and Investigations,HSIF_osi,Bart Stupak,Bruce Braley,Ed Markey,Diana DeGette,Mike Doyle,Jan Schakowsky,Mike Ross,Donna Christensen,Peter Welch,Gene Green,Betty Sutton,John Dingell,Henry Waxman,Greg Walden,Nathan Deal,George Radanovich,John Sullivan,Michael Burgess,Marsha Blackburn,Phil Gingrey,Joe Barton
House Committee on Standards of Official Conduct,HSSO,Zoe Lofgren,Ben Chandler,G.K. Butterfield,Kathy Castor,Peter Welch,Jo Bonner,Gresham Barrett,John Kline,Mike Conaway,Charlie Dent
House Committee on Financial Services,HSBA,Barney Frank,Paul Kanjorski,Maxine Waters,Carolyn Maloney,Luis Gutierrez,Nydia Velazquez,Melvin Watt,Gary Ackerman,Brad Sherman,Gregory Meeks,Dennis Moore,Michael Capuano,Rub̩n Hinojosa,William Clay,Carolyn McCarthy,Joe Baca,Stephen Lynch,Brad Miller,David Scott,Al Green,Emanuel Cleaver,Melissa Bean,Gwen Moore,Paul Hodes,Keith Ellison,Ron Klein,Charles Wilson,Ed Perlmutter,Joe Donnelly,Bill Foster,Andre Carson,Jackie Speier,Travis Childers,Walt Minnick,John Adler,Mary Jo Kilroy,Steven Driehaus,Suzanne Kosmas,Alan Grayson,Jim Himes,Gary Peters,Dan Maffei,Spencer Bachus,Mike Castle,Peter King,Edward Royce,Frank Lucas,Ron Paul,Donald Manzullo,Walter Jones,Judy Biggert,Gary Miller,Shelley Moore Capito,Jeb Hensarling,Scott Garrett,Gresham Barrett,Jim Gerlach,Randy Neugebauer,Tom Price,Patrick McHenry,John Campbell,Adam Putnam,Michele Bachmann,Kenny Marchant,Thaddeus McCotter,Kevin McCarthy,Bill Posey,Lynn Jenkins,Christopher Lee,Erik Paulsen,Leonard Lance
"House Committee on Financial Services/Subcommittee on Capital Markets, Insurance, and Government Sponsored Enterprises",HSBA_cap,Paul Kanjorski,Gary Ackerman,Brad Sherman,Michael Capuano,Ruben Hinojosa,Carolyn McCarthy,Joe Baca,Stephen Lynch,Brad Miller,David Scott,Nydia Velazquez,Carolyn Maloney,Melissa Bean,Gwen Moore,Paul Hodes,Ron Klein,Ed Perlmutter,Joe Donnelly,Andre Carson,Jackie Speier,Travis Childers,Charles Wilson,Bill Foster,Walt Minnick,John Adler,Mary Jo Kilroy,Suzanne Kosmas,Alan Grayson,Jim Himes,Gary Peters,Scott Garrett,Tom Price,Mike Castle,Peter King,Frank Lucas,Donald Manzullo,Ed Royce,Judy Biggert,Shelley Moore Capito,Jeb Hensarling,Adam Putnam,Gresham Barrett,Jim Gerlach,John Campbell,Michele M. Bachmann,Thaddeus McCotter,Randy Neugebauer,Kevin McCarthy,Bill Posey,Lynn Jenkins
House Committee on Financial Services/Subcommittee on Financial Institutions and Consumer Credit,HSBA_fic,Luis Gutierrez,Carolyn Maloney,Mel Watt,Gary Ackerman,Brad Sherman,Dennis Moore,Paul Kanjorski,Maxine Waters,Ruben Hinojosa,Carolyn McCarthy,Joe Baca,Al Green,William Lacy Clay,Brad Miller,David Scott,Emanuel Cleaver,Melissa Bean,Paul Hodes,Keith Ellison,Ron Klein,Charles Wilson,Gregory Meeks,Bill Foster,Ed Perlmutter,Jackie Speier,Travis Childers,Walt Minnick,Jeb Hensarling,Gresham Barrett,Mike Castle,Peter King,Ed Royce,Walter Jones,Shelley Moore Capito,Scott Garrett,Jim Gerlach,Randy Neugebauer,Tom Price,Patrick McHenry,John Campbell,Kevin McCarthy,Kenny Marchant,Christopher Lee,Erik Paulsen,Leonard Lance
House Committee on Financial Services/Subcommittee on Housing and Community Opportunity,HSBA_hco,Maxine Waters,Nydia Velazquez,Stephen Lynch,Emanuel Cleaver,Al Green,William Lacy Clay,Keith Ellison,Joe Donnelly,Michael Capuano,Paul Kanjorski,Luis Gutierrez,Steve Driehaus,Mary Jo Kilroy,Jim Himes,Dan Maffei,Shelley Moore Capito,Thaddeus McCotter,Judy Biggert,Gary Miller,Randy Neugebauer,Walter Jones,Adam Putnam,Kenny Marchant,Lynn Jenkins,Christopher Lee
House Committee on Financial Services/Subcommittee on Domestic Monetary Policy and Technology,HSBA_dmp,Melvin Watt,Carolyn Maloney,Gregory Meeks,William Lacy Clay,Brad Sherman,Al Green,Emanuel Cleaver,Keith Ellison,John Adler,Suzanne Kosmas,Ron Paul,Mike Castle,Frank Lucas,Jim Gerlach,Tom Price,Bill Posey,Leonard Lance
House Committee on Financial Services/Subcommittee on International Monetary Policy and Trade,HSBA_imp,Gregory Meeks,Luis Gutierrez,Maxine Waters,Melvin Watt,Gwen Moore,Andre Carson,Steve Driehaus,Gary Peters,Dan Maffei,Gary Miller,Edward Royce,Ron Paul,Donald Manzullo,Michele Bachmann,Erik Paulsen
House Committee on Financial Services/Subcommittee on Oversight and Investigations,HSBA_osi,Dennis Moore,Stephen Lynch,Ron Klein,Jackie Speier,Gwen Moore,John Adler,Mary Jo Kilroy,Steve Driehaus,Alan Grayson,Judy Biggert,Patrick McHenry,Ron Paul,Michele M. Bachmann,Christopher Lee,Erik Paulsen, 
House Committee on Foreign Affairs,HSFA,Howard Berman,Gary Ackerman,Eni Faleomavaega,Donald Payne,Brad Sherman,Robert Wexler,Eliot Engel,Bill Delahunt,Greg Meeks,Diane Watson,Russ Carnahan,Albio Sires,Gerald Connolly,Michael McMahon,John Tanner,Gene Green,Sheila Jackson_Lee,Barbara Lee,Shelley Berkley,Joseph Crowley,Mike Ross,Brad Miller,David Scott,Jim Costa,Keith Ellison,Gabrielle Giffords,Ron Klein,Ileana Ros-Lehtinen,Christopher Smith,Dan Burton,Elton Gallegly,Dana Rohrabacher,Donald Manzullo,Edward Royce,Ron Paul,Jeff Flake,Mike Pence,Joe Wilson,John Boozman,Gresham Barrett,Connie Mack,Jeff Fortenberry,Michael McCaul,Ted Poe,Bob Inglis,Gus Bilirakis
House Committee on Foreign Affairs/Subcommittee on Africa and Global Health,HSFA_afr,Donald Payne,Diane Watson,Barbara Lee,Brad Miller,Greg Meeks,Sheila Jackson_Lee,Chris Smith,Jeff Flake,John Boozman,Jeff Fortenberry
"House Committee on Foreign Affairs/Subcommittee on Asia, the Pacific, and the Global Environment",HSFA_pac,Eni Faleomavaega,Gary Ackerman,Diane Watson,Mike Ross,Brad Sherman,Eliot Engel,Greg Meeks,Don Manzullo,Bob Inglis,Dana Rohrabacher,Ed Royce,Jeff Flake
House Committee on Foreign Affairs/Subcommittee on Europe,HSFA_eur,Robert Wexler,John Tanner,Bill Delahunt,Albio Sires,Michael McMahon,Shelley Berkley,Brad Miller,David Scott,Jim Costa,Elton Gallegly,Gus Bilirakis,Joe Wilson,Ted Poe,John Boozman,Bob Inglis,Gresham Barrett
"House Committee on Foreign Affairs/Subcommittee on Terrorism, Nonproliferation, and Trade",HSFA_ter,Brad Sherman,Gerald Connolly,David Scott,Diane Watson,Michael McMahon,Sheila Jackson_Lee,Ron Klein,Ed Royce,Ted Poe,Donald Manzullo,John Boozman,Gresham Barrett
"House Committee on Foreign Affairs/Subcommittee on International Organizations, Human Rights, and Oversight",HSFA_hro,Bill Delahunt,Russ Carnahan,Keith Ellison,Donald Payne,Robert Wexler,Dana Rohrabacher,Ron Paul,Ted Poe
House Committee on Foreign Affairs/Subcommittee on the Middle East and South Asia,HSFA_mde,Gary Ackerman,Russ Carnahan,Michael McMahon,Sheila Jackson_Lee,Shelley Berkley,Joseph Crowley,Mike Ross,Jim Costa,Keith Ellison,Ron Klein,Brad Sherman,Robert Wexler,Eliot Engel,Gerald Connolly,Gene Green,Dan Burton,Mike Pence,Joe Wilson,Gresham Barrett,Jeff Fortenberry,Michael T. McCaul,Bob Inglis,Gus Bilirakis,Dana Rohrabacher,Edward Royce
House Committee on Foreign Affairs/Subcommittee on the Western Hemisphere,HSFA_whe,Eliot Engel,Greg Meeks,Albio Sires,Gene Green,Gabrielle Giffords,Eni Faleomavaega,Donald Payne,John Tanner,Barbara Lee,Joseph Crowley,Ron Klein,Connie Mack,Michael McCaul,Chris Smith,Dan Burton,Elton Gallegly,Ron Paul,Jeff Fortenberry,Gus Bilirakis
House Select Committee on Energy Independence and Global Warming,HSGW,Ed Markey,Earl Blumenauer,Jay Inslee,John Larson,Stephanie Herseth_Sandlin,Emanuel Cleaver,John Hall,John Salazar,Jackie Speier,James Sensenbrenner,John Shadegg,Candice Miller,John Sullivan,Marsha Blackburn,Shelley Capito
